"","Restaurant","Product_Name","Price","User-Rating","No-Ratings","Address","Feature1","Feature2","Feature3","Feature4","Feature5","City","ProperAddress","Location","RestaurantLatitude","RestaurantLongitude","CenterLatitude","CenterLongitude","DistanceCityCenter","DistanceCEU","size"
"1","15 Perc Pizza Expressz","Margherita pizza","2899",4,391,"Dessewffy utca 5","Olasz","Pizza","Készpénzes fizetés",NA,NA,"Budapest","Budapest Dessewffy utca 5","15 Perc Pizza, 5, Dessewffy utca, Terézváros, Budapest, Közép-Magyarország, 1066, Magyarország",47.5041922,19.0556617,47.4983815,19.0404707,"1.3142607404295563 km","0.5518839870433877 km","33"
"2","15 Perc Pizza Expressz","Margherita pizza","2099",4,391,"Dessewffy utca 5","Olasz","Pizza","Készpénzes fizetés",NA,NA,"Budapest","Budapest Dessewffy utca 5","15 Perc Pizza, 5, Dessewffy utca, Terézváros, Budapest, Közép-Magyarország, 1066, Magyarország",47.5041922,19.0556617,47.4983815,19.0404707,"1.3142607404295563 km","0.5518839870433877 km","32"
"3","50minutes","Margharita Pizza","1850",4.6,398,"Fõ utca 51","Olasz","Magyaros","Hamburger","Pizza","Algida","Budapest","Budapest Fõ utca 51","51, Fõ utca, Víziváros, Budapest, Közép-Magyarország, 1027, Magyarország",47.50821935,19.0384802,47.4983815,19.0404707,"1.1040109564494742 km","1.196931160803151 km","32"
"4","50minutes","Margharita Pizza","3050",4.6,398,"Fõ utca 51","Olasz","Magyaros","Hamburger","Pizza","Algida","Budapest","Budapest Fõ utca 51","51, Fõ utca, Víziváros, Budapest, Közép-Magyarország, 1027, Magyarország",47.50821935,19.0384802,47.4983815,19.0404707,"1.1040109564494742 km","1.196931160803151 km","46"
"5","50minutes","Margharita Pizza","1550",4.6,398,"Fõ utca 51","Olasz","Magyaros","Hamburger","Pizza","Algida","Budapest","Budapest Fõ utca 51","51, Fõ utca, Víziváros, Budapest, Közép-Magyarország, 1027, Magyarország",47.50821935,19.0384802,47.4983815,19.0404707,"1.1040109564494742 km","1.196931160803151 km","28"
"6","Ape Regina Restaurant","Margherita pizza","1990",4.1,7,"Podmaniczky utca 18","Olasz","Tészta","Pizza","NetPincér GO","SZÉP kártyás fizetés","Budapest","Budapest Podmaniczky utca 18","Ape Regina, 18, Podmaniczky utca, Terézváros, Budapest, Közép-Magyarország, 1065, Magyarország",47.5086038,19.057331,47.4983815,19.0404707,"1.7044555814675393 km","1.0111210841484044 km","32"
"7","Avanti Pizzéria - Lajos utca","Margherita pizza","1690",3.9,94,"Lajos utca 98","Olasz","Hamburger","Amerikai","Pizza","Készpénzes fizetés","Budapest","Budapest Lajos utca 98","Vidocq Étterem, 98, Lajos utca, Óbuda, III. kerület, Budapest, Közép-Magyarország, 1036, Magyarország",47.5330609,19.0407838,47.4983815,19.0404707,"3.855758852990389 km","3.6427092702598696 km","32"
"8","Avanti Pizzéria - Lajos utca","Margherita calzone pizza","2090",3.9,94,"Lajos utca 98","Olasz","Hamburger","Amerikai","Pizza","Készpénzes fizetés","Budapest","Budapest Lajos utca 98","Vidocq Étterem, 98, Lajos utca, Óbuda, III. kerület, Budapest, Közép-Magyarország, 1036, Magyarország",47.5330609,19.0407838,47.4983815,19.0404707,"3.855758852990389 km","3.6427092702598696 km","32"
"9","Belli Di Mamma","Margherita pizza","1990",4.7,31,"Akácfa utca 45","Pizza","NetPincér GO","SZÉP kártyás fizetés","Érintkezésmentes kiszállítás",NA,"Budapest","Budapest Akácfa utca 45","Belli di Mamma, 45, Akácfa utca, Ligetváros, Erzsébetváros, VII. kerület, Közép-Magyarország, 1072, Magyarország",47.5001941,19.0657507,47.4983815,19.0404707,"1.9153425766180845 km","1.1777189587645263 km","32"
"10","Best Food Grill Pécs","Margarita pizza","1700",4.5,120,"Széchenyi tér 8","Pizza","Hamburger","Grill","Török","NetPincér GO","Pécs","Pécs Széchenyi tér 8","Széchenyi tér, Schlauch-villatelep, Belváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7621, Magyarország",46.07641615,18.2280747727006,46.0763222,18.2280746,"0.010442815082791192 km","170.34137844879567 km","30"
"11","Bíbor Pizza","Margherita pizza","1690",4.5,44,"Népfürdõ utca 17","Pizza","Készpénzes fizetés",NA,NA,NA,"Budapest","Budapest Népfürdõ utca 17","17/e, Népfürdõ utca, Vizafogó, XIII. kerület, Közép-Magyarország, 1138, Magyarország",47.5316225,19.0589072,47.4983815,19.0404707,"3.9480488429433525 km","3.4767937140415888 km","32"
"12","Bonnie Restro Comics","Margherita pizza","1790",5,26,"Ferenciek tere 5","Nemzetközi","Pizza","NetPincér GO","SZÉP kártyás fizetés","Érintkezésmentes kiszállítás","Budapest","Budapest Ferenciek tere 5","Ibolya espresso, 5, Ferenciek tere, Belváros, Budapest, Közép-Magyarország, 1053, Magyarország",47.4922815,19.0564725,47.4983815,19.0404707,"1.3833887889540222 km","1.0717133625212434 km","32"
